Reviewer Name,Review Content,Rating Score,Movie Link
MarsLe,"Thái Hòa vẫn duyên và tiếp tục vớt được 1 bộ phim nữa. Phim thú vị ngoài kỳ vọng sau khi đọc được khá nhiều review không mấy tích cực. Tuy nhiên, nếu Kim Lý không nói và vai của Chi Pu để người khác (có khả năng) làm tốt hơn thì chắc phim sẽ ổn hơn. Vẫn câu chuyện, người đóng được thì không có ngoại hình, người có ngoại hình thì không đóng được.",7,https://moveek.com/review/ve-si-sai-gon/
ttkiet,"Một bộ phim chất lượng của Việt Nam, nhưng không được hài như kì vọng",8,https://moveek.com/review/ve-si-sai-gon/
nhamnhiso1,"Phim ok, nhịp dựng mang phong cách rất ngoại (tại đạo diễn ko phải người Việt :v), kịch bản hơi tham. Nói chung coi mùa này ổn. Tới luôn nà :3",8,https://moveek.com/review/ve-si-sai-gon/
NeroHuynh,"Vệ Sĩ Sài Gòn mang tính giải trí cao dù kịch bản còn đôi chỗ vụn về, nhưng cũng được xem là phim hài - hành động ổn nhất trong nhiều năm trở lại đây.
Cùng với giàn diễn viên hút khách như Kim Lý, Thái Hoà, B Trần và Chi Pu cộng với mác đạo diễn nước ngoài; tkn chắc rằng VSSG sẽ thắng lớn ở các phòng vé.
Cặp đôi Thái Hoà - Kim Lý muốn tái hiện lại hình ảnh của Thành Long - Chris Tucker hay Will Smith - Martin Lawrence; nhưng với điều kiện làm phim ở Việt Nam còn hạn chế cộng với kịch bản còn nhiều thiếu sót thì dù đạo diễn nào đi chăng nữa cũng không khiến cặp đôi Lý-Hoà làm nên chuyện lớn.
Diễn xuất của các diễn viên không có gì đặc sắc, ngoại trừ B Trần thoát khỏi hình tượng Bad Boy mà anh được gán cho. Phân cảnh hành động so với các nước cùng khu vực thì vẫn còn khập khễnh, nhưng cũng được xem là có cố gắn phấn đấu. Điều khác biệt duy nhất mà đạo diễn người Nhật Ken Ochiai mang lại được sự khác biệt chính là màu phim; với tông màu ám vàng điện ảnh thực sự cộng với các góc quay thể hiện được chất điện ảnh, VSSG cũng đã được cứu rất nhiều.",7,https://moveek.com/review/ve-si-sai-gon/
PhucDu,"Kịch bản tổng thể khá ổn, nhưg nhiều đoạn không thuyết phục. Tuy nhiên có mấy chỗ tưởng vô lý khiên cưỡng nhưng xem đến cuối ngẫm lại thì hợp lý.
Hài mảng miếng rất tốt, mấy trò du nhập từ Nhật sang rất bá và lầy. Nhạc tuy không có soundtrack mới nhưng dùng lại những bài cũ cực hợp. Đoạn cả nhóm hát I Will Survive đúng là đỉnh cao của sự lầy.
Hành động tốt, đẹp mắt. Đánh đấm có lực không quơ quào. Thái Hòa hơi nhạt và nhàm nhưng nhờ vậy mà những người khác bật lên. Sáng nhất là B Trần và Chi Pu đáng yêu đến không ngờ. Kim Lý ngoài mấy cảnh đánh đấm và khoe thân thì còn lại đều không tốt.
Nói chung phim đáng xem, giải trí tốt.",7,https://moveek.com/review/ve-si-sai-gon/
Nguyễn Ngọc Thanh Thư,"Phim vui, hài, phim có nội dung hay ý nghĩa và gia đình là tất cả",10,https://moveek.com/review/chay-di-roi-tinh/
MarsLe,"Là 1 bộ phim hài bựa từ đầu đến cuối (đã bựa phải bựa tới cùng), nhưng bộ phim lại chưa tốt như ý muốn của đạo diễn (ít nhất là mình nghĩ vậy), có thể đó là vì khả năng diễn xuất hạn chế của diễn viên. Đây hoàn toàn có thể trở thành 1bộ phim tốt nếu có diễn viên tốt.",6,https://moveek.com/review/chay-di-roi-tinh/
HeisenbergPhu,"Hài hước, có một chút gì đó gọi là cảm xúc nhưng vẫn chưa để lại ấn tượng gì nhiều.",6,https://moveek.com/review/cho-em-den-ngay-mai/
ticmiro,"Phim nữ chính hơi đơ, nhưng những cảnh tình cảm diễn đạt, tròn vai, con chó diễn rất hay và góp phần vào thành công của bộ phim.",7,https://moveek.com/review/cho-em-den-ngay-mai/
quitran,"mình fan film ma kinh dị, ma kinh dị và ma, ko thì hài cười nghiêng ngã nhưng vì An nên đi xem thể loại tình cảm, và phim làm bật lên đc sự tử tế trong ty, khóc vì yêu chân thành, của những tâm hồn cô đơn, vì bản thân cô độc ko có người thân trong cs. Phim nhân văn,.hay, chỉ là ko thích cái kết, :((",8,https://moveek.com/review/cho-em-den-ngay-mai/
vudinhdo,"Chị diễn viên An Nguy xinh đẹp dễ thương, tiếc là kịch bản phim dở quá hóa ra thất bại. Thích cái anh trong nhóm 365, đẹp zai :)))",5,https://moveek.com/review/cho-em-den-ngay-mai/
ttkiet,Ước gì là ai đó khác không phải Trấn Thành và An Nguy :3,7,https://moveek.com/review/cho-em-den-ngay-mai/
1tat,1 bộ phim không tôn trọng khán giả. K hiểu sao cgv lại có thể duyệt phim này đc,1,https://moveek.com/review/cho-em-den-ngay-mai/
Amira,"Một bộ phim khởi đầu dễ bị tiên đoán sẽ đi theo một kết thúc cliche của thể loại chick-Flick phim Mỹ thường thấy. Nhưng nhà làm phim quyết định phải làm một kịch bản đột phá với vài ba cú twist có vẻ mới lạ. Tôi sẽ chấp nhận cái kịch bản cliche kia hơn là một mớ hỗn độn cảm xúc gây bối rồi như thế này. Nhưng đó là cái phải chấp nhận khi chọn đột phá, 9/10 là thất bại.
Một câu chuyện có vẻ dễ thương. Nhưng cái kết khiến nó thật vô nghĩa.",2,https://moveek.com/review/cho-em-den-ngay-mai/
nguyenthiynhu,Tết xem phim gì? Hài hước là lựa chọn tiên quyết của mình. Mình thích chú Linh từ lúc nhỏ rồi nên không hề chần chừ gì khi quyết định xem phim. Mang hơi hướng Hollywood nhưng phim vẫn đầy tính nhân văn và yếu tố hài đan xen đã khiến khán giá không nhàm chán mà còn thỏa mãn.,10,https://moveek.com/review/rung-xanh-ky-la-truyen/
sihuan95,"lại y như mô tuýp phim Việt. 1 thể loại phim bất kì + diễn viên hài + hiện tượng mạng + yếu tố hài = phim Việt. RIết nhảm, dc mỗi nội dung lạ, kỉ xảo ko hề có sự cải thiện, thua cả phim ngắn trên YT. Dành cho các bạn hiếu kỳ",5,https://moveek.com/review/rung-xanh-ky-la-truyen/
vudinhdo,"Cũng được, có thể nói là hay, hài hước, nhưng không để lại ấn tượng sâu sắc, cũng chỉ giống như một làn gió mát thổi thoáng qua.",7,https://moveek.com/review/rung-xanh-ky-la-truyen/
MarsLe,"Đi coi phim Việt hay nói đùa, mong là sẽ có bất ngờ. Và hôm nay khá là bất ngờ với Rừng Xanh của Khương Ngọc.
Dám nghĩ, dám làm và cân đối khá ổn.
Mong phần này thắng để xem Khương Ngọc sẽ kể chuyện gì trong phần 2.",8,https://moveek.com/review/rung-xanh-ky-la-truyen/
Như Hồ,Phim có nội dung hay... Khúc đầu thì rất sôi động ( tại mình đi trễ 10' nên không coi được từ đầu :(( ) Còn phần thân tiếp theo thì khá hài.. Mình thích nhất cảnh 5 người cùng ở trong 1 nhà í .... Phim này chú Hoài Linh diễn xuất quá đạt <3 Nhất là đoạn mà gặp mặt 5 người bạn của Giáng Tiên í ( Chú Hoài Linh nói câu nào mình cũng cười câu đó ) Còn gần khúc cuối thì có phần hơi buồn nhưng lúc sau thì cảm thấy hay hơn ... Nói tóm lại: Phim này mặc dù có nhiều đầu tư nhưng còn có số phần hơi nhảm í ( một số phần thôi chứ không nhiều ) Còn về mặt âm thanh và ánh sáng thì phải nói là tốt lắm <3 Mình chỉ cho 8 sao vì còn mắc 1 khuyết điểm ở trên :3 Mong là đạo diễn sẽ có thêm ý kiến hya để hoàn thành tốt hơn những bộ phim sau <3,8,https://moveek.com/review/nang-tien-co-nam-nha/
vanyenpham25031987,"Hài bị nên phút cuối làm cho người xem có chút lắng động! Phim cũng không cách xa với cuộc sống đời thường cho ta cảm giác gần gũi tình yêu, tình cha con và giữa người với người thật ấm áp. Nhưng phim cũng có chút gì đó giả tưởng. Hì hì",8,https://moveek.com/review/nang-tien-co-nam-nha/
phuongtrinhfromsaigon,"Thiệt tình là xưa giờ mình luôn tự hào là khán giả dễ tính, phim gì coi cũng thấy hay dù nó có bị review tệ thế nào, nhưng cái phim này là vượt quá hiểu biết ngôn từ của mình, không biết dùng từ gì để diễn tả sự fail cho hợp với nó. Thấy bạn bè review dở cũng không tin đâu, nghĩ là chắc cũng như mọi năm thôi dù nhảm nhưng cũng nuốt được, nhưng thiệt tình bỏ ra 100k cho phim hài tết kiểu này thiệt là quá uổng! có chú Hoài Linh cũng chả cứu được cả bộ đâu. Điểm cộng duy nhất của cả bộ là có sự góp mặt của khá nhiều diễn viên gạo cội, diễn xuất ổn nhưng kịch bản quá nhảm biên kịch khó hiểu khiến cả bộ phim trở nên gượng ngập quá thể.",2,https://moveek.com/review/nang-tien-co-nam-nha/
cuongdv_95,cho 4 điểm là rộng tay lắm rồi. thực sự thì k hiểu sao phim dở - nhảm - nhạt như này mà vẫn đông khách???,4,https://moveek.com/review/nang-tien-co-nam-nha/
tititisnack2001,"Chú Hoài Linh diễn quá hay luôn, cùng dàn diễn viên là những danh hài kì cựu mang đến nhiều tình huống hài hước cho người xem. Ý nghĩa mà bộ phim mang lại: Tiền không mua được tình yêu, mà chỉ có tình yêu thật lòng mới mang hai người lại với nhau. Đây là một bộ phim hài Tết đáng xem dành cho mọi người.",9,https://moveek.com/review/nang-tien-co-nam-nha/
MarsLe,"Phim yếu từ kịch bản, diễn xuất, âm nhạc, âm thanh...nói chung là yếu tất tần tật!!!",5,https://moveek.com/review/nang-tien-co-nam-nha/
thyle,Dù là phim Việt nhưng nó đã không khiến mình thất vọng bởi nhiều pha hành động đặc sắc,8,https://moveek.com/review/luc-van-tien/
VNPlayboy,"1 phim không khí vui tươi ngày tết nhưng chất lượng pha trộn võ thuật và hài hước hơi loãng , thua xa tác phẩm cùng thời điểm của Thành Long (LVT có vẻ hơi ăn theo)",4,https://moveek.com/review/luc-van-tien/
Khả Liêm,"Đây là phim Việt Nam đầu tiên mà mình cảm thấy hành động đã nhất, các màn đấm đá chuyên nghiệp tạo cảm giác rất thật chứ không như các phim Việt Nam lúc trước. Phim có cốt truyện rõ ràng, mạch lạc tuy nhiên vẫn còn có một số chi tiết khiến nguời xem khó hiểu. Tuy hành động nhưng phim vẫn có pha yếu tố hài vào làm cho nguời xem có thể xả stress sau một năm căng thẳng, thư giãn trong những ngày tết. Dù vậy, phim vẫn có mắc một số lỗi mà nguời xem dễ dàng nhận ra nhưng nó không lớn. Nói chung đây là phim đáng xem trong dịp tết 2017 này",9,https://moveek.com/review/luc-van-tien/
tieudi82cn,"Phim đã có những cảnh có thể xem như tiến bộ, theo kiểu phim Trung Quốc trước phim Việt 20 năm vậy. Giống coi lại phim Trung Quốc khi xưa, nhưng hình anh phim tân tiến rõ nét hơn, đã có tiền cho kỹ xảo, nhưng chưa phá cách nhiều, do hầu hết phim Việt Nam chiếu rạp dành hài nhiều hơn kỹ thuật, nghệ thuật diễn xuất chưa hòa nhập theo phim tự nhiên. Vai diễn còn cứng.",7,https://moveek.com/review/luc-van-tien/
Han,Có thể xem đây là một bất ngờ đối với thị trường phim Việt Nam những năm gần đây. Dù rằng vẫn theo vết xe đổ của các phim cũ vì tính sân khấu hóa điện ảnh và nhiều tình tiết hài nhảm. Nhưng công bằng mà nói phần hành động của phim rất rất tốt. Hy vọng Ekip của Andy Long sẽ đóng góp thêm nhiều dự án hay.,7,https://moveek.com/review/luc-van-tien/
Kingthai,Một bộ phim quá hay. Hài sạch sẽ. Thông minh.,10,https://moveek.com/review/ban-gai-toi-la-sep/
ttkiet,"một bộ phim chuyển thể từ Thái khá là hay, tuy nhiên lại không được xuất sắc. Tuy nhiên về cơ bản là khá hay và ổn. Diễn xuất tốt. Một bộ phim đáng xem",9,https://moveek.com/review/ban-gai-toi-la-sep/
10210496502943311,"Phim quá chán.

Đạo diễn gom được nhiều diễn viên giỏi nhưng thật sự non tay. Các vlogger đều là những người biết diễn nhưng bị giao vào các vai hết sức nhảm nhí. Nhân vật nam chính tay nganh không được tự nhiên , chỉ được cái đẹp mã thôi. Miu Le tốt hơn, tuy nhiên hơi cứng và đanh đá, hai nhân vật không cho thấy sự hòa hợp của một cặp vợ chồng. Các tình tiết quá nhanh, dồn dập dẫn đến thiếu điểm nhấn, tác giả chưa Việt hóa được để câu chuyện trở nên lôi cuốn, hợp lý. Quá lạm dụng yếu tố cường điệu hóa về âm thanh, nét mặt trong diễn xuất khiến phim hơi gắng gồng, chọc nhảm, thiếu tinh tế. Mức độ giải trí thua xa cả các gameshow thực tế như Ơn giời cậu đây rồi. Mọi người ko nên đi xem, phim này câu tiền thôi ko đưa lại đc trải nghiệm hay. Kém xa e là bà nội của anh",2,https://moveek.com/review/ban-gai-toi-la-sep/
VNPlayboy,"Thích Miu Lê từ hồi Em Là Bà Nội Của Anh . Dù không xuất sắc như Em là Bà Nôi nhưng phim này lại mang màu sắc vui tươi , nhí nhảnh , xem giải trí cũng ổn",8,https://moveek.com/review/ban-gai-toi-la-sep/
466629707059145,"Phim hài, nhưng không giống một số bộ phim hài VN khác, đa phần là hài nhảm. Nam diễn viên chính diễn đạt, tuy không phải là diễn viên lâu năm. Miu Lê diễn có duyên, tự nhiên hơn bộ phim trước rất nhiều.",9,https://moveek.com/review/ban-gai-toi-la-sep/
NThanHoang,"Phim khá hay, bao hài và nhiều đoạn hài được thể hiện khá rõ nét trong phim. Phim chủ yếu hài nhưng khúc cuối cũng lấy đi nước mắt người xem vì câu chuyện tình yêu đáng iu và bài hát hay",8,https://moveek.com/review/ban-gai-toi-la-sep/
kkpham,Một bộ phim duyên dáng và hài hước vừa đủ (dù vẫn còn có kha khá phân đoạn quá lố). Kịch bản được Việt hóa và tạo ra được dấu ấn riêng mang nét văn hóa Việt.,7,https://moveek.com/review/ban-gai-toi-la-sep/
MeoUDoremon,"Phim chỉnh chu,góc máy đẹp,tiếng cười thậm xưng,mốt sính ngoại nên vài chi tiết còn lạ lẫm với người Việt.Đôi chỗ diễn xuất cường điệu và sân khấu hóa,hơi náo nhiệt và ồn ào",7,https://moveek.com/review/ban-gai-toi-la-sep/
cuongdv_95,"Theo mình, phim này khá hay, hài hước, hài khá duyên chứ k phải kiểu gượng ép và nhảm nhảm như mấy phim của Hoài Linh.
Vì chưa xem bản của Thái nên ko biết giống nhau bao nhiêu %, nhưng mình nghĩ phim này là một phim cover lại thành công giống như Em là bà nội của anh.
Phim này mà chiếu vào đúng dịp tết một tuần trước thì chắc chắn thắng lớn luôn, đảm bảo sẽ cực kì ăn khách. Chiếu vào thời điểm sau tết, lại chưa đến Valentine nên doanh thu chắc sẽ khó cao được. Hơn nữa lại bị CGV ép suất, các rạp ở HN chiếu khá ít suất, lại chiếu vào phòng nhỏ ít ghế nên sẽ ảnh hưởng đến doanh thu.",9,https://moveek.com/review/ban-gai-toi-la-sep/
