title,genre,release_date,country,url
Khủng Long Đón Tết,"Gia đình, Phiêu lưu, Hài, Hoạt hình",26/02/2026,N/A,https://www.momo.vn/cinema/jungle-beat-2-the-past-24782/review
Chuyện Kinh Dị Giới Siêu Giàu,"Gay cấn, Kinh dị",27/02/2026,N/A,https://www.momo.vn/cinema/janur-ireng-sewu-dino-the-prequel-24792/review
Lời Nguyền Thư Viện Mikura,"Giả tưởng, Hoạt hình",06/03/2026,N/A,https://www.momo.vn/cinema/whoever-steals-this-book-24794/review
Huyền Tình Dạ Trạch,Tình cảm,10/02/2026,N/A,https://www.momo.vn/cinema/huyen-tinh-da-trach-24784/review
Stray Kids: The dominATE Experience Tour Diễn Toàn Cầu,"Âm Nhạc, Tài liệu",06/03/2026,N/A,https://www.momo.vn/cinema/the-dominate-experience-24793/review
Bus: Chuyến Xe Một Chiều,"Gay cấn, Kinh dị",20/03/2026,N/A,https://www.momo.vn/cinema/bus-chuyen-xe-mot-chieu-24797/review
Đếm Ngày Xa Mẹ,"Chính kịch, Gia đình",20/03/2026,N/A,https://www.momo.vn/cinema/number-one-24785/review
MAI,Lãng mạn,10/02/2024,Việt Nam,https://www.momo.vn/cinema/mai-23711/review
Nhà Gia Tiên,"Gia đình, Tâm Linh, Hài",21/02/2025,Việt Nam,https://www.momo.vn/cinema/nha-gia-tien-24210/review
Lật Mặt 7: Một Điều Ước,"Gia đình, Tình cảm, Hài",26/04/2024,Việt Nam,https://www.momo.vn/cinema/face-off-7-one-wish-23775/review
Bộ Tứ Báo Thủ,"Hài, Lãng mạn",29/01/2025,N/A,https://www.momo.vn/cinema/bo-tu-bao-thu-24186/review
Thám Tử Kiên: Kỳ Án Không Đầu,"Bí ẩn, Gay cấn, Kinh dị, Hình sự",28/04/2025,N/A,https://www.momo.vn/cinema/tham-tu-kien-ky-an-khong-dau-24272/review
Mưa Đỏ,"Lịch sử, Hành động",22/08/2025,N/A,https://www.momo.vn/cinema/mua-do-24511/review
Nụ Hôn Bạc Tỷ,"Hài, Lãng mạn",29/01/2025,Việt Nam,https://www.momo.vn/cinema/nu-hon-bac-ty-24185/review
Truy Tìm Long Diên Hương,"Hài, Hành động",14/11/2025,Việt Nam,https://www.momo.vn/cinema/truy-tim-long-dien-huong-24588/review
Lật Mặt 8: Vòng Tay Nắng,"Chính kịch, Gia đình, Âm Nhạc",30/04/2025,N/A,https://www.momo.vn/cinema/lat-mat-8-vong-tay-nang-24262/review
Quật Mộ Trùng Ma (chiếu lại),"Bí ẩn, Gay cấn, Kinh dị",15/03/2024,Hàn Quốc,https://www.momo.vn/cinema/exhuma-23755/review
Tử Chiến Trên Không,"Gay cấn, Hình sự, Hành động",19/09/2025,Việt Nam,https://www.momo.vn/cinema/tu-chien-tren-khong-24543/review
Phi Vụ Động Trời 2 (Zootopia 2),"Gia đình, Phiêu lưu, Hài, Hoạt hình",28/11/2025,N/A,https://www.momo.vn/cinema/zootopia-2-24320/review
Thám Tử Lừng Danh Conan: Ngôi Sao 5 Cánh 1 Triệu Đô,"Bí ẩn, Hình sự, Hành động, Hoạt hình",02/08/2024,Nhật Bản,https://www.momo.vn/cinema/conan-movie-27-the-milliondollar-pentagram-23844/review
Địa Đạo: Mặt Trời Trong Bóng Tối,"Chiến tranh, Lịch sử",04/04/2025,N/A,https://www.momo.vn/cinema/dia-dao-mat-troi-trong-bong-toi-24252/review
Thanh Gươm Diệt Quỷ: Vô Hạn Thành (chiếu lại),"Gay cấn, Giả tưởng, Hành động, Hoạt hình",15/08/2025,N/A,https://www.momo.vn/cinema/kimetsu-no-yaiba-infinity-castle-24433/review
Đất Rừng Phương Nam,"Chiến tranh, Chính kịch, Gia đình",16/10/2023,Việt Nam,https://www.momo.vn/cinema/song-of-the-south-993/review
Quỷ Nhập Tràng,Kinh dị,07/03/2025,N/A,https://www.momo.vn/cinema/quy-nhap-trang-24232/review
Thám Tử Lừng Danh Conan: Dư Ảnh Của Độc Nhãn (Chiếu lại),"Bí ẩn, Hình sự, Hành động, Hoạt hình",25/07/2025,N/A,https://www.momo.vn/cinema/conan-movie-28-24316/review
CÁM,Kinh dị,20/09/2024,Việt Nam,https://www.momo.vn/cinema/the-sisters-23868/review
Doraemon Movie 44: Nobita và Cuộc Phiêu Lưu Vào Thế Giới Trong Tranh,"Gia đình, Phiêu lưu, Giả tưởng, Hoạt hình",23/05/2025,N/A,https://www.momo.vn/cinema/doraemon-movie-44-nobita-no-esekai-monogatari-24280/review
Tee Yod: Quỷ Ăn Tạng Phần 2,"Gay cấn, Kinh dị",18/10/2024,Thái Lan,https://www.momo.vn/cinema/tee-yod-2-24044/review
Yêu Nhầm Bạn Thân,"Hài, Lãng mạn",29/01/2025,N/A,https://www.momo.vn/cinema/yeu-nham-ban-than-24133/review
Thiên Đường Máu,"Tâm lý, Hành động",30/12/2025,N/A,https://www.momo.vn/cinema/thien-duong-mau-24734/review
MA DA,Kinh dị,16/08/2024,Việt Nam,https://www.momo.vn/cinema/ma-da-23865/review
Út Lan: Oán Linh Giữ Của,Kinh dị,20/06/2025,N/A,https://www.momo.vn/cinema/ut-lan-oan-linh-giu-cua-24322/review
Cửu Long Thành Trại: Vây Thành,"Gay cấn, Hành động",14/06/2024,Hồng Kông,https://www.momo.vn/cinema/twilight-of-the-warriors-walled-in-23846/review
Làm Giàu Với Ma: Cuộc Chiến Hột Xoàn,"Chính kịch, Hài, Hành động",29/08/2025,N/A,https://www.momo.vn/cinema/lam-giau-voi-ma-2-cuoc-chien-hot-xoan-24513/review
Godzilla x Kong: Đế Chế Mới (Chiếu lại),"Phiêu lưu, Khoa học - Viễn tưởng, Hành động",19/04/2025,Mỹ,https://www.momo.vn/cinema/godzilla-x-kong-the-new-empire-23713/review
Chị Dâu,"Chính kịch, Hài",20/12/2024,N/A,https://www.momo.vn/cinema/chi-dau-24144/review
Người Vợ Cuối Cùng (Chiếu lại),"Chính kịch, Lãng mạn",19/01/2024,Việt Nam,https://www.momo.vn/cinema/nguoi-vo-cuoi-cung-23587/review
Làm Giàu Với Ma (Chiếu Lại),"Gia đình, Hài",30/08/2024,Việt Nam,https://www.momo.vn/cinema/lam-giau-voi-ma-23985/review
Đèn Âm Hồn,Kinh dị,07/02/2025,N/A,https://www.momo.vn/cinema/the-soul-lantern-24214/review
Gặp Lại Chị Bầu,"Gia đình, Hài, Lãng mạn",10/02/2024,Việt Nam,https://www.momo.vn/cinema/gap-lai-chi-bau-23735/review
Lật Mặt 6: Tấm Vé Định Mệnh,"Bí ẩn, Chính kịch, Hài, Hành động",28/04/2023,Việt Nam,https://www.momo.vn/cinema/lat-mat-6-tam-ve-dinh-menh-961/review
Quỷ Cẩu,Kinh dị,27/12/2023,Việt Nam,https://www.momo.vn/cinema/quy-cau-23693/review
Gia Tài Của Ngoại,Chính kịch,07/06/2024,Thái Lan,https://www.momo.vn/cinema/how-to-make-millions-before-grandma-dies-23807/review
404 Chạy Ngay Đi (Chiếu Lại),"Kinh dị, Hài",27/12/2024,N/A,https://www.momo.vn/cinema/404-run-run-24182/review
Kung Fu Panda 4,"Gia đình, Phiêu lưu, Hài, Hành động, Hoạt hình",08/03/2024,Mỹ,https://www.momo.vn/cinema/kung-fu-panda-4-23758/review
Doraemon: Nobita và bản giao hưởng Địa Cầu,"Phiêu lưu, Âm Nhạc, Khoa học - Viễn tưởng, Giả tưởng, Hoạt hình",24/05/2024,Nhật Bản,https://www.momo.vn/cinema/doraemon-nobita-va-ban-giao-huong-dia-cau-23815/review
Tee Yod: Quỷ Ăn Tạng 3,"Gay cấn, Kinh dị, Hành động",10/10/2025,N/A,https://www.momo.vn/cinema/teeyod-3-24546/review
Mưa Lửa - Anh Trai Vượt Ngàn Chông Gai Movie,"Âm Nhạc, Tài liệu",16/05/2025,N/A,https://www.momo.vn/cinema/mua-lua-anh-trai-vuot-ngan-chong-gai-movie-24310/review
Kẻ Ăn Hồn,"Gay cấn, Kinh dị, Ma",15/12/2023,Việt Nam,https://www.momo.vn/cinema/ke-an-hon-23688/review
Cô Dâu Hào Môn,"Gia đình, Hài",18/10/2024,Việt Nam,https://www.momo.vn/cinema/co-dau-hao-mon-24038/review
Đẹp Trai Thấy Sai Sai,"Kinh dị, Hài",09/08/2024,Hàn Quốc,https://www.momo.vn/cinema/handsome-guys-23950/review
Mang Mẹ Đi Bỏ,"Chính kịch, Gia đình",01/08/2025,N/A,https://www.momo.vn/cinema/mang-me-di-bo-24313/review
Nhà Bà Nữ,Chính kịch,22/01/2023,Việt Nam,https://www.momo.vn/cinema/the-house-of-no-man-879/review
Linh Miêu: Quỷ Nhập Tràng,Kinh dị,22/11/2024,Việt Nam,https://www.momo.vn/cinema/linh-mieu-quy-nhap-trang-24045/review
Vây Hãm: Kẻ Trừng Phạt,"Chính kịch, Hình sự, Hành động",26/04/2024,Hàn Quốc,https://www.momo.vn/cinema/the-roundup-punishment-23798/review
Deadpool và Wolverine,"Phiêu lưu, Khoa học - Viễn tưởng, Hài",27/07/2024,Mỹ,https://www.momo.vn/cinema/deadpool-wolverine-23808/review
Aquaman: Vương Quốc Thất Lạc,"Siêu anh hùng, Phiêu lưu, Khoa học - Viễn tưởng, Hành động",22/12/2023,Mỹ,https://www.momo.vn/cinema/aquaman-and-the-lost-kingdom-23640/review
Ma Không Đầu,"Kinh dị, Hài",24/06/2025,N/A,https://www.momo.vn/cinema/tim-xac-ma-khong-dau-24281/review
Cưới Ma Giải Hạn,"Bí ẩn, Kinh dị, Hình sự, Giả tưởng, Hài, Hành động",11/04/2025,N/A,https://www.momo.vn/cinema/the-red-envelope-24273/review
Venom: Kèo Cuối,"Phiêu lưu, Khoa học - Viễn tưởng, Hành động",25/10/2024,Mỹ,https://www.momo.vn/cinema/venom-the-last-dance-24041/review
Hoàng Tử Quỷ,"Kinh dị, Cổ Trang",05/12/2025,N/A,https://www.momo.vn/cinema/the-demon-prince-24617/review
Cục Vàng Của Ngoại,"Chính kịch, Gia đình, Tâm lý",17/10/2025,N/A,https://www.momo.vn/cinema/cuc-vang-cua-ngoai-24527/review
Kẻ Trộm Mặt Trăng 4,"Gia đình, Phiêu lưu, Hài, Hoạt hình",05/07/2024,Mỹ,https://www.momo.vn/cinema/despicable-me-4-23843/review
Yadang: Ba Mặt Lật Kèo,Hình sự,16/05/2025,N/A,https://www.momo.vn/cinema/yadang-the-snitch-24308/review
Tee Yod: Quỷ Ăn Tạng,"Gay cấn, Kinh dị, Giật gân",29/12/2023,Thái Lan,https://www.momo.vn/cinema/death-whisperer-23714/review
